error
6.096953809875405e-09
2.3016902644950195e-09
1.6359082851735426e-09
1.0470298763963158e-09
7.741705396964075e-10
8.629739132729713e-10
6.402734338458686e-10
5.694832366241709e-10
5.461835596505913e-10
4.20145975690979e-10
4.572737843334497e-10
4.117751597502552e-10
3.41706528892954e-10
3.4314525718029864e-10
3.4818457194232737e-10
2.8771940299134393e-10
3.054478135488258e-10
2.936735142612022e-10
2.5265027115185476e-10
2.3588036579568896e-10
2.6697568588856915e-10
2.2049047236797124e-10
2.162792466244707e-10
2.2346681615089323e-10
2.0323854578956671e-10
1.8637655151460624e-10
1.9654346815488607e-10
1.97888256168001e-10
1.8129151435770584e-10
1.7004618304530238e-10
1.7644546245884887e-10
1.539058194751052e-10
1.6625314462974338e-10
1.541076407627599e-10
1.4593616193537358e-10
1.4193614583729478e-10
1.414399073696801e-10
1.4240712571456596e-10
1.33696368978942e-10
1.3435363487193573e-10
1.3084019436200376e-10
1.324155609599769e-10
1.2641461421412684e-10
1.291433291532067e-10
1.194034948931195e-10
1.2368912771052225e-10
1.1493100401714998e-10
1.1907407393574075e-10
1.065322548333183e-10
1.1377247878574275e-10
1.0886890092829731e-10
1.0338453154679982e-10
1.0113809813232737e-10
1.0636833557174198e-10
9.621738322224455e-11
